12561 10
1595 0 1
7826 0 1
6121 0 5
660 3 1
7147 5 1
10248 5 1
11606 0 1
9645 0 1
2994 0 1
9 0 1
6496 0 1
4551 0 1
5662 0 1
9611 1 1
5566 4 1
8994 5 1
11387 0 3
9426 0 1
2791 0 1
830 0 1
7061 0 1
4332 0 1
4765 3 1
8457 6 1
11936 0 1
9991 0 1
3340 0 1
611 0 1
6842 0 5
4881 0 1
10936 3 1
3772 3 1
1018 2 1
7759 4 1
10622 0 1
8661 0 1
9772 0 8
3121 0 3
1160 0 6
7663 0 1
4678 0 1
10145 3 1
11171 0 9
8442 0 1
3942 0 2
1981 0 2
7188 0 1
5483 0 1
7561 3 1
9007 0 1
12509 0 38
2356 0 27
395 0 1
1762 0 1
7993 0 1
6032 0 15
8822 1 1
11773 0 1
8788 0 1
2137 0 1
176 0 3
6423 0 3
7790 0 1
5829 0 1
775 3 1
9161 3 1
11298 0 1
9593 0 1
2702 0 1
997 0 20
6204 0 4
4243 0 14
5761 2 1
6787 3 1
9056 5 1
9109 5 1
12318 5 1
3507 0 1
522 0 1
7009 0 1
5048 0 4
6961 0 1
5480 3 1
4623 3 1
10533 0 1
11900 0 1
9939 0 2
3288 0 1
1343 0 1
7574 0 7
4845 0 1
2687 6 1
5428 1 1
3270 3 1
12273 3 1
10314 0 1
8353 0 1
3853 0 1
1124 0 18
7355 0 1
5394 0 27
658 4 1
7737 5 1
1497 3 1
11135 0 27
9174 0 4
12420 0 10
2523 0 26
3634 0 2
1673 0 1
8160 0 28
5191 0 1
10452 3 1
7303 6 1
4672 6 1
8142 3 1
11684 0 5
8955 0 1
2048 0 1
359 0 1
6590 0 1
7701 0 2
5996 0 1
11060 0 1
11465 0 25
9504 0 1
2869 0 1
908 0 1
6371 0 21
4410 0 2
9335 3 1
723 3 1
5425 4 1
11237 5 1
9301 0 1
2650 0 1
689 0 1
6920 0 11
4207 0 12
7352 3 1
12451 4 1
1704 4 1
10700 0 1
11811 0 1
10106 0 1
3215 0 5
1510 0 1
6717 0 2
4756 0 1
5188 3 1
8339 3 1
10481 0 1
4105 3 1
4020 0 1
1035 0 22
7522 0 1
5561 0 1
9437 4 1
4343 4 1
11981 3 1
3369 3 1
6553 6 1
11046 0 1
8317 0 1
2434 0 1
3801 0 1
1840 0 1
8087 0 1
5358 0 1
720 4 1
1822 3 2
10827 0 1
8866 0 1
12368 0 4
2231 0 6
270 0 1
1637 0 1
7868 0 5
5907 0 1
4355 3 1
4787 4 1
11632 0 1
9687 0 1
3036 0 1
51 0 2
6282 0 1
4577 0 1
5688 0 1
4146 5 1
12231 3 2
11614 3 1
10997 3 1
5670 3 1
11125 6 1
12197 0 2
9468 0 1
2561 0 1
856 0 1
7103 0 1
4118 0 29
10460 2 1
11978 0 1
10017 0 22
3382 0 1
1421 0 1
6884 0 5
4923 0 1
8084 3 1
10392 0 1
8703 0 1
9814 0 36
3163 0 5
1202 0 26
7433 0 1
4704 0 37
4686 3 1
11213 0 1
8228 0 1
3712 0 3
2023 0 1
7230 0 16
5269 0 1
6258 0 8
7134 4 1
5491 1 1
10994 0 1
9033 0 1
12295 0 1
2398 0 2
437 0 1
1548 0 1
8035 0 1
6074 0 4
5457 2 1
9333 6 1
11559 0 9
8830 0 1
2947 0 1
218 0 1
6449 0 28
4488 0 1
5871 0 1
9856 0 26
4319 3 1
7798 3 1
12449 3 1
6863 2 1
11340 0 1
9379 0 1
2728 0 1
783 0 20
6246 0 10
4285 0 1
6358 0 1
3160 3 1
5446 5 1
3583 3 1
8259 4 1
5186 4 1
12145 0 3
10184 0 1
3549 0 1
564 0 1
6795 0 5
5090 0 1
11695 4 1
9759 3 1
1579 4 1
10575 0 2
8614 0 1
9981 0 1
3074 0 1
1369 0 1
7600 0 1
4631 0 1
8032 3 1
7175 3 2
4421 4 1
5646 4 1
9330 5 1
10356 0 1
8395 0 1
3895 0 1
1934 0 1
7397 0 2
5436 0 13
3376 6 1
700 4 1
814 4 1
10729 3 1
10905 0 28
9200 0 1
12462 0 4
2309 0 3
3676 0 3
1715 0 5
7946 0 2
5217 0 1
4767 4 1
11726 0 1
8741 0 1
2090 0 1
129 0 1
6616 0 1
7743 0 1
5782 0 1
9580 1 1
11507 0 1
9546 0 1
2911 0 10
950 0 2
6157 0 3
4452 0 1
4418 3 1
12413 3 1
7897 3 1
9343 0 1
3460 0 2
731 0 1
6962 0 33
5001 0 1
7977 4 1
6016 4 1
1129 6 1
10742 0 2
11853 0 1
9892 0 20
3241 0 5
1280 0 1
6759 0 1
4798 0 2
5553 8 1
1111 3 2
160 4 1
10267 0 8
8562 0 5
4062 0 5
1077 0 7
7308 0 1
5603 0 1
11384 3 1
11106 1 1
8147 3 2
10939 0 1
11072 0 1
9127 0 1
2476 0 2
3587 0 1
1882 0 1
8113 0 1
5128 0 1
11671 3 1
10869 0 1
8908 0 1
12410 0 13
2257 0 1
296 0 1
6543 0 5
7910 0 1
5949 0 1
10553 1 1
278 3 1
1796 5 1
11418 0 6
9713 0 1
2822 0 1
93 0 1
6324 0 1
4363 0 1
5730 0 3
2205 2 1
8093 0 2
8239 4 1
7339 4 1
12239 0 1
9254 0 2
2603 0 1
642 0 1
7129 0 9
4144 0 2
10687 3 1
4567 6 1
4743 3 1
10653 0 1
12020 0 2
10059 0 1
3408 0 1
1463 0 1
6670 0 1
4965 0 1
4348 6 1
11986 3 1
10434 0 2
8473 0 1
3239 5 1
3973 0 10
1244 0 1
7475 0 1
5514 0 1
778 4 1
1210 3 1
11255 0 1
8270 0 2
3754 0 2
1793 0 6
7256 0 14
5311 0 1
7855 3 1
10780 0 22
9075 0 1
12321 0 1
2424 0 32
479 0 1
1590 0 1
7821 0 1
6116 0 3
2602 0 1
7170 5 1
5465 3 1
2989 0 9
4 0 1
6491 0 1
4530 0 1
5641 0 13
10367 4 1
9606 3 1
3387 2 1
3705 3 1
11382 0 3
9421 0 1
2770 0 1
809 0 1
7040 0 17
4327 0 17
7957 4 1
8338 6 1
6405 3 1
11931 0 1
10226 0 1
12439 5 1
3335 0 43
606 0 1
6837 0 1
4876 0 1
4691 3 2
10601 0 19
4225 3 1
9767 0 2
3116 0 1
1155 0 3
7642 0 2
4657 0 1
476 3 1
7139 6 1
10583 1 1
8662 5 1
12300 2 1
1553 6 1
11166 0 1
8437 0 1
3921 0 1
1960 0 1
7183 0 3
5478 0 2
10947 0 14
8986 0 1
12488 0 1
2351 0 2
390 0 8
1757 0 6
7988 0 2
6027 0 3
8288 0 3
3453 5 1
11752 0 1
8783 0 5
9869 5 1
2132 0 1
171 0 2
6402 0 24
7769 0 1
5808 0 1
6669 0 1
4964 0 7
3147 4 1
11293 0 2
9588 0 2
2937 0 1
976 0 1
6199 0 5
4238 0 1
1152 3 1
958 3 1
7214 4 1
341 3 1
12098 0 1
10137 0 1
3502 0 1
517 0 1
7004 0 22
5043 0 9
12119 0 1
2885 2 1
7180 3 1
10158 0 1
6353 3 1
11895 0 3
9934 0 1
3283 0 1
1322 0 1
7553 0 1
4824 0 1
2348 3 1
4806 3 2
10309 0 22
8348 0 1
4088 0 1
1119 0 1
7350 0 5
5389 0 2
3663 3 1
8570 3 1
11653 4 1
11114 0 1
9153 0 1
2518 0 2
3629 0 1
1668 0 1
8155 0 1
5170 0 1
4313 3 1
1890 3 1
4002 5 1
11679 0 2
8950 0 23
2299 0 3
338 0 1
6569 0 1
7680 0 29
5991 0 1
7001 5 1
5040 3 1
5513 0 20
8598 4 1
8069 3 1
9499 0 1
2848 0 1
903 0 1
6366 0 30
4405 0 12
9931 5 1
10651 3 1
2679 3 1
8379 4 1
5580 3 1
2830 3 1
12265 0 1
9280 0 1
2645 0 42
684 0 1
6915 0 5
4186 0 14
1116 3 2
33 3 1
7313 6 1
11806 0 1
10101 0 3
3450 0 2
1489 0 1
6696 0 1
4751 0 7
6169 0 4
9004 3 3
10476 0 7
8515 0 1
4015 0 1
1030 0 1
7517 0 6
5556 0 1
2296 3 1
8100 1 1
4322 4 1
5522 3 1
11025 0 1
4905 3 1
3796 0 1
1835 0 1
8066 0 1
5337 0 1
9830 2 1
3762 3 1
4056 5 1
10822 0 8
8861 0 1
12363 0 1
2210 0 1
505 0 1
1616 0 1
7863 0 1
5902 0 1
7344 6 1
9083 1 1
1598 3 1
956 8 1
11627 0 1
9666 0 1
3031 0 7
46 0 1
6277 0 1
4572 0 1
5683 0 1
1564 6 1
4131 3 1
5587 4 1
8017 3 1
9463 0 2
2812 0 1
851 0 1
7082 0 1
4097 0 1
5455 5 1
965 8 1
11390 3 1
2778 3 1
11541 3 1
3472 0 7
11973 0 1
10012 0 13
3361 0 1
632 0 1
6879 0 3
4918 0 1
1231 3 2
1021 3 1
10387 0 2
8682 0 1
9793 0 3
3158 0 6
1197 0 1
7428 0 1
4699 0 31
12360 3 1
11192 0 1
8223 0 1
3963 0 2
2002 0 1
7209 0 1
5248 0 1
9074 0 1
5680 3 1
9238 4 1
7113 4 1
10557 3 1
9 6 1
10989 0 1
9028 0 1
12530 0 1
2377 0 1
416 0 1
1543 0 1
8030 0 2
6069 0 1
11567 6 1
7773 5 1
7564 4 1
398 3 1
3877 3 1
11538 0 3
8809 0 1
2174 0 1
213 0 1
6444 0 8
4483 0 10
5850 0 1
6876 3 1
6410 3 1
1697 3 1
11335 0 1
9374 0 2
2723 0 1
1018 0 1
6225 0 1
4264 0 1
8871 5 1
5181 4 1
7725 3 1
10179 0 1
3528 0 1
559 0 1
6790 0 5
5085 0 1
8627 3 1
9059 4 1
10554 0 18
5483 2 1
9960 0 1
3325 0 1
1364 0 1
7595 0 10
4610 0 2
10351 0 1
8390 0 1
3874 0 18
1145 0 1
7376 0 24
5431 0 2
9908 6 1
695 4 1
9698 6 1
8419 4 1
10900 0 1
9195 0 1
12441 0 6
2544 0 34
3671 0 2
1710 0 4
7941 0 6
5212 0 1
5640 0 1
8163 1 1
11705 0 1
8720 0 1
2085 0 1
380 0 6
6611 0 1
7722 0 1
5761 0 12
11502 0 1
9541 0 1
2890 0 1
929 0 1
6392 0 14
4447 0 12
6991 3 1
6374 3 1
7574 6 1
12051 0 2
9322 0 1
2687 0 35
726 0 1
6957 0 1
4996 0 4
5428 3 1
7858 4 1
10721 0 16
4601 3 1
9887 0 2
3236 0 1
1531 0 1
6738 0 1
4777 0 33
12221 3 1
10262 0 1
8557 0 1
4041 0 4
1056 0 1
7303 0 12
5598 0 1
9055 0 1
11067 0 1
9106 0 1
2471 0 1
3838 0 1
1877 0 1
8108 0 26
5123 0 1
7923 3 2
10848 0 1
8903 0 2
12405 0 1
2252 0 1
291 0 1
1658 0 1
7889 0 15
4895 5 1
12267 6 1
11413 0 1
5293 3 1
11721 0 1
3057 0 1
72 0 1
6319 0 1
4358 0 14
5725 0 2
1528 3 1
2616 1 1
9674 3 1
54 3 1
9057 3 1
12218 0 15
9233 0 1
2598 0 1
893 0 1
7124 0 3
4139 0 1
10632 0 22
12015 0 15
10054 0 1
3403 0 15
1442 0 1
6905 0 2
4944 0 2
10463 3 1
4343 6 1
4926 3 1
10429 0 10
4309 3 1
9835 0 9
3184 0 5
1239 0 1
6421 5 1
5509 0 1
9604 0 1
3166 3 1
11234 0 1
8249 0 4
3749 0 2
2044 0 1
7251 0 1
5290 0 1
6836 0 4
10775 0 3
9070 0 18
12316 0 1
2419 0 28
458 0 1
1569 0 1
8056 0 1
6111 0 1
7121 5 1
7199 6 1
5672 3 1
4118 6 1
9619 0 4
2968 0 1
255 0 1
6486 0 3
4525 0 1
5636 0 1
5529 3 2
2333 3 1
11361 0 1
9400 0 13
2765 0 1
804 0 1
6267 0 1
4306 0 1
619 3 1
770 3 1
153 3 1
4704 2 1
10221 0 2
3570 0 2
585 0 13
6816 0 1
4871 0 1
7248 3 1
10806 4 1
1600 4 1
10596 0 5
8635 0 3
9746 0 1
6185 3 1
3111 0 1
1406 0 1
7637 0 1
4652 0 1
12313 5 1
10562 3 1
12522 0 3
4618 3 1
11145 0 1
5025 3 1
3916 0 8
1955 0 1
7418 0 1
5457 0 2
9015 3 1
4656 0 1
835 4 1
9916 5 1
10942 0 1
8981 0 1
12483 0 1
2330 0 38
3697 0 1
1736 0 6
7983 0 9
6022 0 13
11747 0 1
8762 0 1
2127 0 3
166 0 1
6653 0 1
7764 0 4
5803 0 1
4945 3 1
7530 6 1
3142 4 1
11272 0 12
9583 0 24
2932 0 1
971 0 1
6178 0 1
4473 0 10
10829 2 1
3515 3 1
8119 4 1
7193 4 1
2281 3 1
12093 0 2
10132 0 20
3481 0 1
752 0 1
6999 0 1
5038 0 1
4421 2 1
7900 4 1
9481 3 1
10507 0 1
11874 0 1
9913 0 1
3278 0 26
1317 0 1
6780 0 2
4819 0 1
8848 5 1
5045 3 1
7980 3 1
10288 0 1
8343 0 1
4083 0 1
1098 0 4
7329 0 3
5624 0 1
6801 0 1
10270 3 1
11109 0 1
4989 3 1
2497 0 1
3608 0 1
1919 0 1
